Clave,Descripción,Línea,Existencias,Modelo,Talla,Color,Cuenta contable,Clave alterna
MEDERILAB-068,NIDAZOL-30 30 TABLETAS,MEDER,2,,,,,
MEDERILAB-067,TRISUL D 100ML,MEDER,0,,,,,
MEDERILAB-066,DETECCION DE AG PARVOVIRUS,MEDER,0,,,,,
MEDERILAB-065,DETECCION DE AG DISTEMPER,MEDER,10,,,,,
MEDERILAB-064,RESPIMED 30 TAB,MEDER,17,,,,,
MEDERILAB-063,ARTRODOL-30 C/30 TABLETAS,MEDER,17,,,,,
MEDERILAB-062,DOXIMED -30 30 TAB.,MEDER,6,,,,,
MEDERILAB-061,OMEPRA C/30 TABLETAS,MEDER,11,,,,,
MEDERILAB-060,COCCIMED ORAL 20ML,MEDER,6,,,,,
MEDERILAB-059,ALBEN MAX 30 30TAB,MEDER,5,,,,,
MEDERILAB-058,PREGABALYN-10 30 TAB,MEDER,8,,,,,
MEDERILAB-057,PREGABALYN-5 30 TAB,MEDER,4,,,,,
MEDERILAB-056,E150 30 TAB,MEDER,6,,,,,
MEDERILAB-055,CARTIMED C/30 TABLETAS,MEDER,0,,,,,
MEDERILAB-054,GASTRYL ORAL 20ML,MEDER,9,,,,,
MEDERILAB-053,RELAAX SPRAY 120ML,MEDER,19,,,,,
MEDERILAB-052,NIDAZOL-10 C/30 TABLETAS,MEDER,11,,,,,
MEDERILAB-051,LEVIVET SUSP ORAL 150ML,MEDER,6,,,,,
MEDERILAB-050,SINDOL 30 30 TABLETAS,MEDER,8,,,,,
MEDERILAB-049,SINDOL 10 30 TAB,MEDER,4,,,,,
MEDERILAB-048,SINDOL ORAL 10ML,MEDER,12,,,,,
MEDERILAB-047,NIDAZOL iv INY.100ML,MEDER,0,,,,,
MEDERILAB-046,DETECCION DE AG PARVOVIRU/AG CORONAVIRUS,MEDER,0,,,,,
MEDERILAB-045,CLORHEXIN SPRAY 60ML,MEDER,12,,,,,
MEDERILAB-044,ENROCAM-10 100ML,MEDER,2,,,,,
MEDERILAB-043,TRISUL 30 TAB,MEDER,8,,,,,
MEDERILAB-042,GENTADEX SOL. OFTALMICA 10 ML,MEDER,0,,,,,
MEDERILAB-041,DERMISAN-10 30 TAB.,MEDER,5,,,,,
MEDERILAB-040,ENROCAM 25 ML,MEDER,5,,,,,
MEDERILAB-039,FIPROMED GATO 38 ML,MEDER,9,,,,,
MEDERILAB-038,CLINDACIN -30 30TAB,MEDER,28,,,,,
MEDERILAB-037,CLINDACIN -10 30 TAB,MEDER,19,,,,,
MEDERILAB-036,CEFALMED -10 30 TAB,MEDER,12,,,,,
MEDERILAB-035,E 150 30 TAB.,MEDER,28,,,,,
MEDERILAB-034,EQ MEDERI GEL JERINGA 10 ML,MEDER,0,,,,,
MEDERILAB-033,GLUTAMINA TARRO 90 GR,MEDER,9,,,,,
MEDERILAB-032,DERMISAN SHAMPOO 340ML,MEDER,5,,,,,
MEDERILAB-031,OTISAN OTICO 20ML,MEDER,12,,,,,
MEDERILAB-030,RELAAX 30ML ORAL,MEDER,2,,,,,
MEDERILAB-029,NIDAZOL ORAL 60ML,MEDER,16,,,,,
MEDERILAB-028,METOCLOP ORAL 20ML,MEDER,13,,,,,
MEDERILAB-027,MOXID 100ML INY.,MEDER,9,,,,,
MEDERILAB-026,BLOCK IN 250ML,MEDER,35,,,,,
MEDERILAB-025,CLORHEXIN 1 LTO,MEDER,8,,,,,
MEDERILAB-024,TRISUL C 60ML,MEDER,7,,,,,
MEDERILAB-023,CLINDAGEN 25ML,MEDER,14,,,,,
MEDERILAB-022,CEFALMED 30 30TAB,MEDER,9,,,,,
MEDERILAB-021,METOCLOP ORAL 10 ML INY.,MEDER,10,,,,,
MEDERILAB-020,METOCLOP 50ML INY,MEDER,10,,,,,
MEDERILAB-019,REVITAL 30ML,MEDER,8,,,,,
MEDERILAB-018,ENRODIP 30 TABLETAS,MEDER,10,,,,,
MEDERILAB-017,LEVIVET 10 C/30 TAB,MEDER,9,,,,,
MEDERILAB-016,LEVIVET INY. 25ML,MEDER,35,,,,,
MEDERILAB-015,EPILEPXIS 30 30TAB,MEDER,21,,,,,
MEDERILAB-014,FORTE 4 PLUS 1 LTO,MEDER,24,,,,,7506362401477
MEDERILAB-013,----FORTE G 1 LTO,MEDER,0,,,,,
MEDERILAB-012,----FORTE G 100 ML,MEDER,0,,,,,
MEDERILAB-011,FORTE 4 POUR ON 250ML,MEDER,16,,,,,
MEDERILAB-010,----FORTE 4 POUR ON 1 LTO,MEDER,0,,,,,
MEDERILAB-009,CLORHEXIN 4 LTS =,MEDER,0,,,,,
MEDERILAB-008,FORTE SPRAY 240ML,MEDER,6,,,,,
MEDERILAB-007,FORTE SPRAY 120ML,MEDER,47,,,,,
MEDERILAB-006,FORTE 4 PLUS 5 LTO,MEDER,2,,,,,
MEDERILAB-005,DERMISAN SPRAY 60 ML,MEDER,19,,,,,
MEDERILAB-004,BLOCK IN PETS 100 ML,MEDER,42,,,,,
MEDERILAB-003,BLOCK IN PETS 60 ML,MEDER,38,,,,,
MEDERILAB-002,EPILEPXIS 10 30 TAB,MEDER,23,,,,,
MEDERILAB-001,EPILEPXIS 5 30 TAB.,MEDER,20,,,,,
MAVER-006,VITATER REPRODUCCION BOBRE 10GR,MAVER,43,,,,,
MAVER-005,VITATER PELECHA SOBRE 10GR,MAVER,0,,,,,
MAVER-004,VITATER POSTURA SOBRE 10 GR,MAVER,0,,,,,
MAVER-003,BONUX HOME 4LT. CONCENTRADO,MAVER,4,,,,,
MAVER-002,BONUX HOME 750ML,MAVER,156,,,,,
MAVER-001,BONUX SOLUCION 4 LTS,MAVER,5,,,,,
LUBRICANTE-030,MEXLUB  C-19 LTS HD  M68 =NARANJA=,,0,,,,,
LUBRICANTE-019,ACEITE MEXLUB  AZUL 19 LTS,,0,,,,,
LOEFLER-005,LAXOTONICO INY 30 ML,LOEFF,2,,,,,7506356000426
LOEFFLER-016,FORMULA ANTIDIARREÍCA SOBRE 6 GR,LOEFF,140,,,,,
LOEFFLER-015,TOLERAX 100ML. INY,LOEFF,0,,,,,
LOEFFLER-014,SULFAMIN P 100ML INY.,LOEFF,0,,,,,
LOEFFLER-013,TRIAMIDOL 20ML. INY,LOEFF,55,,,,,7506356000037
LOEFFLER-012,LEXIFFLER150 INY. 100ML,LOEFF,15,,,,,
LOEFFLER-011,CALENDIX GEL 200 G,LOEFF,0,,,,,
LOEFFLER-007,CAFEINA 30ML INY,LOEFF,64,,,,,7506356000280
LOEFFLER-006,CORTIDEX SOL. INY. 10ML,LOEFF,0,,,,,
LOEFFLER-004,SULFATO DE ATROPINA 10 ML,LOEFF,236,,,,,7506356000495
LOEFFLER-003,LAXOTONICO 120 GRS,LOEFF,210,,,,,
LOEFFLER-002,ESTROL 10 ML,LOEFF,198,,,,,
LOEFFLER-001,SULFATO DE ATROPINA 60 ML.,LOEFF,81,,,,,7506356000594
LAPISA-134,OVOSURE 50ML,LAPIS,0,,,,,
LAPISA-133,MINOXEL PLUS 100 ML,LAPIS,0,,,,,
LAPISA-131,MAXI-LAP 10 KG,LAPIS,10,,,,,
LAPISA-130,---FEED GAIN MIX 25KG,LAPIS,0,,,,,
LAPISA-129,MAXIBEEF 40 20 DS,LAPIS,33,,,,,
LAPISA-128,SULFATROPIN 25 KG,LAPIS,0,,,,,
LAPISA-127,DECTIVER ADE 500 ML,LAPIS,0,,,,,
LAPISA-126,---BOVIUMUNE PROTECTOR L5 10DS,LAPIS,0,,,,,
LAPISA-125,CLOSALBEN-F 5 LTS,LAPIS,0,,,,,
LAPISA-123,BOVIMUNE IXOVAC 100 ML (50 DS),LAPIS,8,,,,,
LAPISA-122,BOVIMUNE IXOVAC 20 ML (10DS),LAPIS,0,,,,,
LAPISA-121,ZIMACAL 500 ML,LAPIS,24,,,,,
LAPISA-120,ESTREP-50 50 G.,LAPIS,0,,,,,
LAPISA-119,FOSEL ED 500ML,LAPIS,14,,,,,
LAPISA-118,INYECTOR SEMIAUTOMATICO 25M JERINGA,LAPIS,0,,,,,
LAPISA-117,BOVIMUNE CLOSTRI 7 HS 50 ML 10 DS,LAPIS,20,,,,,
LAPISA-116,---MINAZEL PLUS 25kg,LAPIS,0,,,,,
LAPISA-115,BOVIMUNE CLOSTRI 7 HS 250 ML,LAPIS,29,,,,,
LAPISA-114,LAPIMICINA 100 ML,LAPIS,16,,,,,7502225642513
LAPISA-113,BOLSA DE CONSERVADOR 25 KG,LAPIS,3,,,,,
LAPISA-112,BOVIMUNE PROTECTOR-5 10 DS,LAPIS,42,,,,,
LAPISA-111,---FEEDLOT 140 25KG,LAPIS,0,,,,,
LAPISA-107,MINOXEL PLUS 250 ML,LAPIS,77,,,,,
LAPISA-106,FLUNIDIN 250 ML,LAPIS,76,,,,,
LAPISA-105,FLORTEC 250 ML,LAPIS,104,,,,,7502225647181
LAPISA-104,PROMETABOL ADE 100 ML,LAPIS,13,,,,,
LAPISA-103,CLOSTRI 10 50 ML 10 DS,LAPIS,20,,,,,
LAPISA-102,CLOSTRI 10 250 ML 50 DS,LAPIS,170,,,,,
LAPISA-101,OVIVER 100 ML,LAPIS,29,,,,,
LAPISA-100,APLICADOR CLOSALBEN,LAPIS,0,,,,,
LAPISA-099,COMPOL ADE 500 ML,LAPIS,8,,,,,
LAPISA-096,BOVIMUNE PROTECTOR 50 DS,LAPIS,13,,,,,
LAPISA-094,PRIMECIN SOLUBLE 1 LTO,LAPIS,81,,,,,7502225643626
LAPISA-093,BOVIMUNE SINGLE SHOT 50 ML 10 DS,LAPIS,20,,,,,
LAPISA-092,BOVIMUNE SINGLE SHOT 250 ML 50 DS,LAPIS,266,,,,,
LAPISA-089,TICOFF 100 ML,LAPIS,62,,,,,
LAPISA-084,LAPIMICINA LA 500,LAPIS,1,,,,,
LAPISA-082,TICOFF 30 ML,LAPIS,130,,,,,
LAPISA-079,PROMETABOL ADE 250 ML,LAPIS,46,,,,,
LAPISA-076,---VIFATO PLUS 500 ML,LAPIS,0,,,,,
LAPISA-073,---MINELAP FOS 12 25KG,LAPIS,0,,,,,
LAPISA-068,BROMUCOL 100 ML,LAPIS,0,,,,,
LAPISA-065,LAPIBAC TRIPLE BOVINA 50 ML,LAPIS,16,,,,,
LAPISA-063,----SULFATROPIN PLUS 5 KG,LAPIS,0,,,,,
LAPISA-060,DECTIVER PREMIUM 500 ML. 3.15%,LAPIS,115,,,,,
LAPISA-059,LAPIBAC TRIPLE BOVINA 250 ML,LAPIS,86,,,,,
LAPISA-057,LAPIBAC TRIPLE BOVINA 100 ML,LAPIS,174,,,,,7502225642315
LAPISA-051,PRIMECIN 250 ML    **,LAPIS,12,,,,,
LAPISA-050,---SECACEF 10ML,LAPIS,0,,,,,
LAPISA-048,---FLUPEN 6 MILL,LAPIS,0,,,,,
LAPISA-047,TRAK 8 LTS,LAPIS,51,,,,,
LAPISA-046,BOVIMUNE MASTER L5 25 DS,LAPIS,14,,,,,
LAPISA-045,--NEUMOCLOR-200 25KG,LAPIS,0,,,,,
LAPISA-044,--MASTRIX JERINGA 10 ML,LAPIS,0,,,,,
LAPISA-043,FLUVIN 50ML,LAPIS,0,,,,,
LAPISA-039,GARRABAN 100 ML,LAPIS,"3,818.00",,,,,7502225641905
LAPISA-037,--DECTIVER PREMIX 10KG,LAPIS,0,,,,,
LAPISA-036,GARRABAN 1 LTO,LAPIS,"4,367.00",,,,,7502225641929
LAPISA-033,LAPIMICINA 500 ML,LAPIS,46,,,,,7502225642544
LAPISA-032,--NEOTETRA 1 KG,LAPIS,0,,,,,
LAPISA-031,BIOPAR 100 ML,LAPIS,5,,,,,
LAPISA-030,LOMOPON 1 LTO,LAPIS,153,,,,,7502225642841
LAPISA-029,LOMOPON 5 LTS,LAPIS,20,,,,,
LAPISA-027,ANTILMIN 12 500 ML,LAPIS,47,,,,,7502225640199
LAPISA-026,TRAK 100 ML,LAPIS,108,,,,,
LAPISA-024,SULFATROPIN 250 ML.,LAPIS,50,,,,,7502225643978
LAPISA-023,KANEOZOL 250 ML.,LAPIS,0,,,,,
LAPISA-022,COMPOL B 100 ML,LAPIS,171,,,,,7502225640632
LAPISA-021,LAPIRONA 250 ML,LAPIS,40,,,,,
LAPISA-020,FERROCER 100 ML.---,LAPIS,7,,,,,
LAPISA-019,TRAK 1 LTO,LAPIS,240,,,,,
LAPISA-018,LAPIRONA 100 ML,LAPIS,38,,,,,
LAPISA-017,LAPICOR 50 ML,LAPIS,119,,,,,7502225642407
LAPISA-016,APLICADOR LOMO-PON,LAPIS,0,,,,,
LAPISA-013,DECTIVER 500 ML. 1%,LAPIS,55,,,,,7502225641080
LAPISA-011,MAXIGRO C/24 DS,LAPIS,0,,,,,
LAPISA-010,DECTIVER F 500ML,LAPIS,0,,,,,
LAPISA-009,TICOFF 1 LTO.,LAPIS,8,,,,,
LAPISA-008,BIOPAR 10 ML,LAPIS,28,,,,,
LAPISA-007,SULFATROPIN 100 ML.,LAPIS,13,,,,,7502225643947
LAPISA-006,NEUMO SP 25KG.,LAPIS,0,,,,,
LAPISA-005,PRIMECIN 100 ML,LAPIS,0,,,,,
LAPISA-004,LAPIMICINA LA 250 ML.,LAPIS,87,,,,,7502225645934
LAPISA-003,----LAPIMICINA LA 100 ML,LAPIS,0,,,,,
LAPISA-002,LAPITROMICINA 500 ML,LAPIS,0,,,,,
LAPISA-001,MAXICHOICE-200 20 DS,LAPIS,6,,,,,
KIRON-078,COX II 1 MG 100 TAB,KIRON,2,,,,,
KIRON-077,COX II 4MG 100 TAB LKM105,KIRON,2,,,,,
KIRON-076,COX II 2.5 100 TABLETAS LKM104,KIRON,1,,,,,
KIRON-075,KETOXIDERM SHAMPOO 350ML,KIRON,47,,,,,7506345101288
KIRON-074,KIROSEB SHAMPOO 350ML,KIRON,31,,,,,
KIRON-073,KIROBENCIL SHAMPOO 350ML,KIRON,20,,,,,7506345101318
KIRON-072,KIRONAZOL SHAMPOO 350ML,KIRON,38,,,,,7506345101295
KIRON-071,KIRODERMAL SHAMPOO,KIRON,151,,,,,7506345101219
KIRON-070,PERFECT DOG JABON INSECTICIDA Ectoparaci,KIRON,183,,,,,7506345100991
KIRON-069,PS. DENTAL STARTER KIT DOG Importacion,KIRON,3,,,,,26851870050
KIRON-068,KIROSEPTIC SPRAY 100 ML,KIRON,43,,,,,7506345100328
KIRON-067,KIROTIC 4L Otico,KIRON,67,,,,,7506345100311
KIRON-066,BIOEST-3 V,KIRON,172,,,,,7506345100045
KIRON-065,N-EMESIS,KIRON,172,,,,,
KIRON-063,TOLTRAFIN SUSPENSION 30ML,KIRON,159,,,,,7506345100472
KIRON-060,COX II SUSPENSION 10ml,KIRON,111,,,,,
KIRON-059,COX II INYECTABLE,KIRON,38,,,,,7506345100052
KIRON-058,COX II 4 MG,KIRON,156,,,,,
KIRON-057,COX II 2.5 MG,KIRON,181,,,,,7506345100915
KIRON-056,COX II 1MG,KIRON,79,,,,,
KIRON-055,QUIROFLOX 2.5% 30ml,KIRON,111,,,,,7506345100434
KIRON-054,QUIROFLOX 150MG,KIRON,131,,,,,
KIRON-053,QUIROFLOX 50MG,KIRON,62,,,,,7506345100441
KIRON-052,KIROXILINA 100 C/100 TAB,KIRON,54,,,,,7506345100335
KIRON-051,KIROXILINA 100 C/30 TAB,KIRON,342,,,,,7506345100588
KIRON-050,KIRODROXIL 400,KIRON,72,,,,,
KIRON-049,KIRODROXIL 200,KIRON,44,,,,,
KIRON-048,KIROFTAL CIPROXYN 5 ML Oftalmica,KIRON,36,,,,,7506345101080
KIRON-047,KIROXILINA 400 C/50TAB,KIRON,109,,,,,7506345100342
KIRON-046,KIROXILINA 400 C/20 TAB,KIRON,93,,,,,
KIRON-045,KIROSTOP D 30ML,KIRON,129,,,,,
KIRON-044,KIROFTAL NEODEX 5 ML  Oftalmica,KIRON,154,,,,,
KIRON-043,GASTROZOL 5 14 TAB,KIRON,247,,,,,7506345100113
KIRON-042,KIROFTAL KIROPRED 5 ML Oftalmico,KIRON,194,,,,,
KIRON-041,KIROFTAL DEXA 5 ML Oftamica,KIRON,194,,,,,7506345101110
KIRON-040,AZITROKIR M 400,KIRON,98,,,,,7506345100021
KIRON-039,CONDROPROTECTOR VITAMINADO 30 TAB Suplem,KIRON,90,,,,,7506345100601
KIRON-038,PERFORMANCE RECONSTIT  VITAMINAS 30 TAB,KIRON,96,,,,,7506345100410
KIRON-037,PERFORMANCE CALCIO 30 TAB Suplementos,KIRON,95,,,,,
KIRON-036,PERFORMANCE AGES 30 TAB Suplementos,KIRON,55,,,,,
KIRON-035,LAGRIVET SC 10ML Oftalmica,KIRON,147,,,,,7506345101158
KIRON-033,KIROFTAL TOBRA 5ML Oftalmica,KIRON,168,,,,,
KIRON-032,KIROFTAL AZITROKIR 5ML Oftalmica,KIRON,195,,,,,
KIRON-031,KIROFTAL DICLO 12ML Oftalmica,KIRON,90,,,,,7506345100243
KIRON-030,KIROFTAL GENTA 12ml  Oftalmica,KIRON,173,,,,,7506345100250
KIRON-029,KIRODERMAL JABON 100GR,KIRON,325,,,,,7506345100212
KIRON-028,KIROSULF-T 60ML,KIRON,71,,,,,7506345100304
KIRON-027,FRAGANCIAS KIRON 100ML,KIRON,898,,,,,
KIRON-026,GASTROZOL 20 14TAB,KIRON,303,,,,,7506345100106
KIRON-025,TOLTRAFIN 400 CJA DISP 10/BLIST/1TAB,KIRON,29,,,,,7506345100489
KIRON-024,TOLTRAFIN 200 CJA.DISPNS 10 BLIS C/2 TAB,KIRON,68,,,,,
KIRON-023,METRAZOL 500 14 TAB,KIRON,68,,,,,7506345100366
KIRON-022,METRAZOL 250 14TAB,KIRON,29,,,,,
KIRON-021,METRAZOL SUSPENSION 30ML,KIRON,256,,,,,7506345100373
KIRON-020,KIR-ANTHEL 2.5 CJA DISPENS 10/BLIS 2TAB,KIRON,43,,,,,7506345100137
KIRON-019,KIR-ANTHEL 35 CJA DESPENS 10 BLIST 1 TAB,KIRON,67,,,,,7506345100144
KIRON-018,KIR-ANTHEL 10 CJA DISP 10 BLIS C/2 TAB,KIRON,49,,,,,7506345100120
KIRON-017,KIR-ANTHEL PUPPIES 200 ML,KIRON,85,,,,,7506345100151
KIRON-016,KIR-ANTHEL PUPPIES 25ML,KIRON,223,,,,,7506345100168
KIRON-015,KIROPRED 50 20TAB,KIRON,70,,,,,7506345100281
KIRON-014,KIROPRED 20 20 TAB,KIRON,98,,,,,
KIRON-013,KIROPRED 5 20TAB,KIRON,102,,,,,7506345100274
KIRON-012,AZITROKIR M SUSPENSION 30ML,KIRON,53,,,,,7506345100038
KIRON-011,AZITROKIR M 200,KIRON,222,,,,,
KIRON-010,AZITROKIR M 100,KIRON,103,,,,,
KIRON-009,DETANGLING SPRAY 250ML Cosmética,KIRON,2,,,,,
KIRON-008,PERFECT DOG WHITE HAIR 370ML Cosmetica,KIRON,0,,,,,
KIRON-007,PERFECT DOG BLACK HAIR 370ML Cosmetica,KIRON,35,,,,,
KIRON-006,PERFECT DOG BALANCE 370ML Cosmetica,KIRON,3,,,,,
KIRON-005,PERFECT DOG SHED CONTROL 370ML Cosmetica,KIRON,51,,,,,
KIRON-004,PERFECT DOG PUPPY 370ML Cosmetica,KIRON,42,,,,,
KIRON-003,PERFECT DOG ADULTO 370ML Cosmetica,KIRON,42,,,,,7506345100953
KIRON-002,TOALLITAS LIMPIADORAS Cosmetica,KIRON,54,,,,,7506345101028
KIRON-001,PS PLUS DETERRENT 60TAB  Prosense,KIRON,0,,,,,
KIRON -034,LAGRIVET 8 GR Oftalmica,KIRON,91,,,,,
IQF-002,INCLORFOS 150 ML,IQF,129,,,,,
IQF-001,INCLORFOS 1 LTO,IQF,85,,,,,
INSTRUMENTAL-258,"VENDA COHESIVA 2""",INSTR,99,,,,,
INSTRUMENTAL-257,COLLAR ISABELINO # 1 (7.5CM),INSTR,50,,,,,
INSTRUMENTAL-256,COLLAR ISABELINO # 7 (30 CM),INSTR,56,,,,,
INSTRUMENTAL-255,COLLAR ISABELINO # 6 (25CM),INSTR,25,,,,,
INSTRUMENTAL-254,COLLAR ISABELINO #5  (20 CM),INSTR,56,,,,,
INSTRUMENTAL-253,COLLAR ISABELINO #4  (15 CM),INSTR,102,,,,,
INSTRUMENTAL-252,COLLAR ISABELINO #3  (12.5CM),INSTR,112,,,,,
INSTRUMENTAL-251,COLLAR ISABELINO #2  (10 CM),INSTR,109,,,,,
INSTRUMENTAL-250,BIBERON PARA MASCOTAS 120ML,INSTR,106,,,,,
INSTRUMENTAL-249,JERINGA REUSABLE 30ML,INSTR,0,,,,,
INSTRUMENTAL-248,COPA P/APLICACION DE SELLO Y PRESELLO,INSTR,6,,,,,
INSTRUMENTAL-247,JERINGA EUROPLEX 50ML,INSTR,0,,,,,
INSTRUMENTAL-245,GUANTE CHICO AMBIDERM NO ESTERIL,INSTR,0,,,,,
INSTRUMENTAL-244,CATETER INTRAVENOSO N°18 SENCIMED,INSTR,0,,,,,
INSTRUMENTAL-239,DESTORCEDOR 2 ARGOLLAS   CH / M,INSTR,13,,,,,
INSTRUMENTAL-236,VARILLA 14 STOCK SHOCK AMARILLA,INSTR,0,,,,,
INSTRUMENTAL-234,ARREADOR HOT SHOT FLEXIBLE  #32,INSTR,0,,,,,
INSTRUMENTAL-228,NARIGUERA AUTOMATICA METALICA,INSTR,0,,,,,
INSTRUMENTAL-225,TERMOMETRO VETERINARIO,INSTR,0,,,,,
INSTRUMENTAL-222,ARGOLLA P/ BECERRO,INSTR,22,,,,,
INSTRUMENTAL-221,APLICADOR P/INTRANASAL 2 ML,INSTR,0,,,,,
INSTRUMENTAL-220,TATUADOR SRANDAR 3/8 2505 C/TINTA Y NUME,INSTR,1,,,,,
INSTRUMENTAL-213,TERMOMETRO DIGITAL LARGO,INSTR,0,,,,,
INSTRUMENTAL-210,BEBEDERO CHUPON CERDO,INSTR,20,,,,,
INSTRUMENTAL-206,CRAYON MARCADOR MEGA,INSTR,6,,,,,
INSTRUMENTAL-199,PLUVIOMETRO ESPECIAL,INSTR,0,,,,,
INSTRUMENTAL-198,EMASCULADOR 30 CM,INSTR,0,,,,,
INSTRUMENTAL-197,ESTUCHE DE DISECCION 9 PZS (C22),INSTR,0,,,,,
INSTRUMENTAL-196,CAJA TRANSPORTADORA PARA GALLO,INSTR,0,,,,,
INSTRUMENTAL-191,AGUJA TROCAR DE ACERO C/FUNDA,INSTR,3,,,,,
INSTRUMENTAL-187,JERINGA 2UM AUT C ALIMENTACION 2 ML,INSTR,0,,,,,
INSTRUMENTAL-183,BATERIA PARA  ARREADOR RECARGABLE,INSTR,0,,,,,
INSTRUMENTAL-178,BEBEDERO CHUPON CHICO,INSTR,0,,,,,
INSTRUMENTAL-177,PINZA MUESCADORA GRANDE,INSTR,0,,,,,
INSTRUMENTAL-176,BEBEDERO CHUPON GRANDE,INSTR,0,,,,,
INSTRUMENTAL-171,ARREADOR HOT SHOT,INSTR,0,,,,,
INSTRUMENTAL-170,PLUVIOMETRO,INSTR,3,,,,,
INSTRUMENTAL-168,CORTA COLA ELECTRICO 110 VOLT,INSTR,0,,,,,
INSTRUMENTAL-167,JERINGA DESECH. 50 - 60 ML,INSTR,364,,,,,
INSTRUMENTAL-165,MARCADOR SPRAY P GANADO,INSTR,0,,,,,
INSTRUMENTAL-163,ARREADOR ROJO FLEXIBLE,INSTR,0,,,,,
INSTRUMENTAL-162,BENDA P CABALLO POLO,INSTR,0,,,,,
INSTRUMENTAL-158,ADAPTADOR P/VACUTAINER,INSTR,37,,,,,
INSTRUMENTAL-156,"VENDA POWERFLEX - HY-TEC - COHESIVA 4""",INSTR,91,,,,,
INSTRUMENTAL-155,"VARILLA STOCK SHOCK AMARILLA 39""",INSTR,0,,,,,
INSTRUMENTAL-151,VARILLA AMARILLA P/ARREADOR #34,INSTR,0,,,,,
INSTRUMENTAL-150,CADENA #4,INSTR,0,,,,,
INSTRUMENTAL-149,BASTON PARA MENEJO  (F12),INSTR,0,,,,,
INSTRUMENTAL-148,CADENA #2 Y #3,INSTR,3,,,,,
INSTRUMENTAL-144,GUANTE ESTERIL LATEX,INSTR,"4,023.00",,,,,NITRILO
INSTRUMENTAL-138,VENDA TIPO POLO C4,INSTR,4,,,,,
INSTRUMENTAL-133,ESTUCHE DE DISECCION 13 PZS.,INSTR,1,,,,,
INSTRUMENTAL-130,DESCORNADOR TIPO SACA BOCADO 374,INSTR,0,,,,,
INSTRUMENTAL-129,CABLE SEGUETA OBSTETRICO (1 METRO) F37,INSTR,2,,,,,
INSTRUMENTAL-119,PINZA DIENTE COCODRILO P/PEZUÑA (J16),INSTR,2,,,,,
INSTRUMENTAL-118,PINZA TENAZA P/PEZUÑA (J15) CORTE CASCO,INSTR,3,,,,,
INSTRUMENTAL-117,CUCHILLO DOBLE FILO,INSTR,5,,,,,
INSTRUMENTAL-116,CABLE SEGUETA OBSTETRICA ROLLO,INSTR,1,,,,,
INSTRUMENTAL-107,TATUADOR ROTATIVO 3/8,INSTR,0,,,,,
INSTRUMENTAL-106,TUBO DESCORNADOR CHICO,INSTR,1,,,,,
INSTRUMENTAL-104,CORREA C/COLLAR 19MM,INSTR,0,,,,,
INSTRUMENTAL-103,COLLAR NAYLON MEDIANO- GRANDE,INSTR,20,,,,,103
INSTRUMENTAL-098,"VARILLA PARA AREADOR #42"" 12512",INSTR,0,,,,,
INSTRUMENTAL-094,TUBO DESCORNADOR GDE,INSTR,0,,,,,
INSTRUMENTAL-093,JUEGO DE NUMEROS 3/8 (0-9),INSTR,0,,,,,
INSTRUMENTAL-092,TIJERA DESCORNADORA (E21),INSTR,0,,,,,
INSTRUMENTAL-091,TERMOMETRO VETERINARIO ECO9M. (E3),INSTR,0,,,,,
INSTRUMENTAL-090,CORTA COLMILLOS P/CERDO,INSTR,0,,,,,
INSTRUMENTAL-089,MARCADOR PUNTO MEDIANO P/ARETE,INSTR,6,,,,,
INSTRUMENTAL-087,TUBO VACUTAINER TAPON LILA C/ANTICUAGULA,INSTR,0,,,,,
INSTRUMENTAL-086,HOJA PARA BISTURI,INSTR,703,,,,,
INSTRUMENTAL-085,JUNTA EMBOLO 10 ML,INSTR,0,,,,,
INSTRUMENTAL-084,----JUNTA EMBOLO 20 ML,INSTR,0,,,,,
INSTRUMENTAL-083,DESCORNADORA TIPOSACA BOCADOS 1,INSTR,0,,,,,
INSTRUMENTAL-082,BISTURI COMPLETO  DESECHABLE,INSTR,22,,,,,
INSTRUMENTAL-081,TUBO TAPON ROJO 7ML,INSTR,"1,984.00",,,,,
INSTRUMENTAL-080,TERMOMETRO VET. DIGITAL  (EI),INSTR,1,,,,,
INSTRUMENTAL-079,GUANTE P/PALPAR KRUTEX     HY-TEC,INSTR,"10,336.00",,,,,
INSTRUMENTAL-078,PLACA DESTETADORA PLASTICA  (L4),INSTR,630,,,,,
INSTRUMENTAL-076,MAMILA CHUPON  GRANDE  (F40),INSTR,269,,,,,
INSTRUMENTAL-075,BOTELLA P/MAMILA,INSTR,222,,,,,
INSTRUMENTAL-072,BATERIA ALCALINA HOT SHOT   (I5),INSTR,80,,,,,
INSTRUMENTAL-070,CAMISA SANITARIA,INSTR,4,,,,,
INSTRUMENTAL-068,APLICADOR P/IINSEMINACION ARTIFICIAL (F6,INSTR,0,,,,,
INSTRUMENTAL-067,FUNDA FRANCESA PAQ. C/50 PZA.,INSTR,50,,,,,
INSTRUMENTAL-064,TINTA ROLL-ON VERDE - NEGRA,INSTR,2,,,,,
INSTRUMENTAL-063,MARCADOR Z AMARILLO,INSTR,0,,,,,
INSTRUMENTAL-061,CRAYON MARCADOR P/GANADO L2-4,INSTR,206,,,,,
INSTRUMENTAL-060,CANULA ORAL,INSTR,30,,,,,
